respondent_code,country,topic,response_type,estimate_guess,correct_answer
503,Senegal,Female labour force participation rate,3,,45
504,Senegal,Female labour force participation rate,1,25,45
505,Senegal,Female labour force participation rate,1,25,45
506,Senegal,Female labour force participation rate,1,15,45
507,Senegal,Female labour force participation rate,2,,45
508,Senegal,Female labour force participation rate,3,,45
509,Senegal,Female labour force participation rate,1,26,45
510,Senegal,Female labour force participation rate,1,26,45
511,Senegal,Female labour force participation rate,2,,45
512,Senegal,Female labour force participation rate,2,,45
513,Senegal,Female labour force participation rate,2,,45
514,Senegal,Female labour force participation rate,2,,45
515,Senegal,Female labour force participation rate,2,,45
516,Senegal,Female labour force participation rate,3,,45
517,Senegal,Female labour force participation rate,1,22,45
518,Senegal,Female labour force participation rate,3,,45
519,Senegal,Female labour force participation rate,3,,45
520,Senegal,Female labour force participation rate,2,,45
521,Senegal,Female labour force participation rate,3,,45
522,Senegal,Female labour force participation rate,2,22,45
101,Colombia,Some secondary education,2,65,50
102,Colombia,Some secondary education,2,40,50
103,Colombia,Some secondary education,2,94,50
104,Colombia,Some secondary education,1,70,50
105,Colombia,Some secondary education,1,80,50
106,Colombia,Some secondary education,1,80,50
107,Colombia,Some secondary education,3,70,50
108,Colombia,Some secondary education,1,50,50
109,Colombia,Some secondary education,2,70,50
110,Colombia,Some secondary education,2,20,50
111,Colombia,Some secondary education,3,80,50
112,Colombia,Some secondary education,1,25,50
113,Colombia,Some secondary education,2,,50
114,Colombia,Some secondary education,2,50,50
115,Colombia,Some secondary education,3,20,50
116,Colombia,Some secondary education,2,56,50
117,Colombia,Some secondary education,2,45,50
118,Colombia,Some secondary education,2,50,50
119,Colombia,Some secondary education,3,40,50
120,Colombia,Some secondary education,3,40,50
301,India,Some secondary education,2,,35
302,India,Some secondary education,2,,35
303,India,Some secondary education,2,,35
304,India,Some secondary education,2,,35
305,India,Some secondary education,2,,35
306,India,Some secondary education,2,65,35
307,India,Some secondary education,2,48,35
308,India,Some secondary education,2,,35
309,India,Some secondary education,2,,35
310,India,Some secondary education,2,20,35
311,India,Some secondary education,1,67,35
312,India,Some secondary education,2,,35
313,India,Some secondary education,2,,35
314,India,Some secondary education,1,95,35
315,India,Some secondary education,2,60,35
316,India,Some secondary education,2,25,35
317,India,Some secondary education,3,40,35
318,India,Some secondary education,3,60,35
319,India,Some secondary education,2,50,35
320,India,Some secondary education,3,30,35
321,India,Some secondary education,2,30,35
322,India,Some secondary education,1,65,35
323,India,Some secondary education,2,45,35
324,India,Some secondary education,2,60,35
325,India,Some secondary education,1,78,35
326,India,Some secondary education,2,,35
201,Kenya,Some secondary education,1,68,28
202,Kenya,Some secondary education,2,45,28
203,Kenya,Some secondary education,1,50,28
204,Kenya,Some secondary education,2,60,28
205,Kenya,Some secondary education,2,40,28
206,Kenya,Some secondary education,1,49,28
207,Kenya,Some secondary education,2,39,28
208,Kenya,Some secondary education,2,,28
209,Kenya,Some secondary education,2,60,28
210,Kenya,Some secondary education,3,48,28
211,Kenya,Some secondary education,2,48,28
212,Kenya,Some secondary education,1,85,28
213,Kenya,Some secondary education,2,60,28
214,Kenya,Some secondary education,2,70,28
215,Kenya,Some secondary education,2,,28
216,Kenya,Some secondary education,2,,28
217,Kenya,Some secondary education,2,,28
218,Kenya,Some secondary education,2,,28
219,Kenya,Some secondary education,1,40,28
220,Kenya,Some secondary education,2,,28
221,Kenya,Some secondary education,2,70,28
222,Kenya,Some secondary education,2,,28
401,Indonesia,Some secondary education,1,60,43
402,Indonesia,Some secondary education,2,,43
403,Indonesia,Some secondary education,2,,43
404,Indonesia,Some secondary education,3,,43
405,Indonesia,Some secondary education,1,70,43
406,Indonesia,Some secondary education,3,,43
407,Indonesia,Some secondary education,1,10,43
408,Indonesia,Some secondary education,3,,43
409,Indonesia,Some secondary education,2,,43
410,Indonesia,Some secondary education,2,,43
411,Indonesia,Some secondary education,2,,43
412,Indonesia,Some secondary education,1,40,43
413,Indonesia,Some secondary education,2,,43
414,Indonesia,Some secondary education,2,,43
415,Indonesia,Some secondary education,2,,43
416,Indonesia,Some secondary education,2,,43
417,Indonesia,Some secondary education,1,70,43
418,Indonesia,Some secondary education,1,80,43
419,Indonesia,Some secondary education,3,,43
420,Indonesia,Some secondary education,2,,43
421,Indonesia,Some secondary education,2,,43
422,Indonesia,Some secondary education,2,,43
501,Senegal,Some secondary education,2,,10
502,Senegal,Some secondary education,2,,10
503,Senegal,Some secondary education,1,68,10
504,Senegal,Some secondary education,1,55,10
505,Senegal,Some secondary education,1,40,10
506,Senegal,Some secondary education,2,,10
507,Senegal,Some secondary education,1,50,10
508,Senegal,Some secondary education,1,25,10
509,Senegal,Some secondary education,2,,10
510,Senegal,Some secondary education,3,,10
511,Senegal,Some secondary education,2,,10
512,Senegal,Some secondary education,2,,10
513,Senegal,Some secondary education,2,,10
514,Senegal,Some secondary education,2,,10
515,Senegal,Some secondary education,2,,10
516,Senegal,Some secondary education,3,,10
517,Senegal,Some secondary education,2,,10
518,Senegal,Some secondary education,3,,10
519,Senegal,Some secondary education,2,,10
520,Senegal,Some secondary education,2,,10
521,Senegal,Some secondary education,1,24,10
522,Senegal,Some secondary education,2,,10
101,Colombia,Maternal mortality rate in 2015,2,5,64
102,Colombia,Maternal mortality rate in 2015,2,35,64
103,Colombia,Maternal mortality rate in 2015,1,5,64
104,Colombia,Maternal mortality rate in 2015,2,7,64
105,Colombia,Maternal mortality rate in 2015,2,,64
106,Colombia,Maternal mortality rate in 2015,3,15,64
107,Colombia,Maternal mortality rate in 2015,3,50,64
108,Colombia,Maternal mortality rate in 2015,2,80,64
109,Colombia,Maternal mortality rate in 2015,2,15,64
110,Colombia,Maternal mortality rate in 2015,2,5,64
111,Colombia,Maternal mortality rate in 2015,3,10,64
112,Colombia,Maternal mortality rate in 2015,1,71,64
113,Colombia,Maternal mortality rate in 2015,2,,64
114,Colombia,Maternal mortality rate in 2015,3,,64
115,Colombia,Maternal mortality rate in 2015,3,10,64
116,Colombia,Maternal mortality rate in 2015,2,2,64
117,Colombia,Maternal mortality rate in 2015,2,30,64
118,Colombia,Maternal mortality rate in 2015,2,10,64
119,Colombia,Maternal mortality rate in 2015,2,,64
120,Colombia,Maternal mortality rate in 2015,2,,64
301,India,Maternal mortality rate in 2015,2,,174
302,India,Maternal mortality rate in 2015,2,,174
303,India,Maternal mortality rate in 2015,2,,174
304,India,Maternal mortality rate in 2015,1,79,174
305,India,Maternal mortality rate in 2015,2,,174
306,India,Maternal mortality rate in 2015,2,20,174
307,India,Maternal mortality rate in 2015,2,,174
308,India,Maternal mortality rate in 2015,2,,174
309,India,Maternal mortality rate in 2015,2,,174
310,India,Maternal mortality rate in 2015,2,258,174
311,India,Maternal mortality rate in 2015,2,,174
312,India,Maternal mortality rate in 2015,2,,174
313,India,Maternal mortality rate in 2015,2,,174
314,India,Maternal mortality rate in 2015,2,5,174
315,India,Maternal mortality rate in 2015,1,265,174
316,India,Maternal mortality rate in 2015,2,265,174
317,India,Maternal mortality rate in 2015,3,200,174
318,India,Maternal mortality rate in 2015,3,260,174
319,India,Maternal mortality rate in 2015,1,265,174
320,India,Maternal mortality rate in 2015,3,250,174
321,India,Maternal mortality rate in 2015,2,263,174
322,India,Maternal mortality rate in 2015,1,2,174
323,India,Maternal mortality rate in 2015,1,40,174
324,India,Maternal mortality rate in 2015,1,5,174
325,India,Maternal mortality rate in 2015,2,,174
326,India,Maternal mortality rate in 2015,2,,174
201,Kenya,Maternal mortality rate in 2015,1,200,510
202,Kenya,Maternal mortality rate in 2015,2,25,510
203,Kenya,Maternal mortality rate in 2015,1,100,510
204,Kenya,Maternal mortality rate in 2015,2,10000,510
205,Kenya,Maternal mortality rate in 2015,2,20,510
206,Kenya,Maternal mortality rate in 2015,1,510,510
207,Kenya,Maternal mortality rate in 2015,2,,510
208,Kenya,Maternal mortality rate in 2015,2,,510
209,Kenya,Maternal mortality rate in 2015,2,10000,510
210,Kenya,Maternal mortality rate in 2015,2,44,510
211,Kenya,Maternal mortality rate in 2015,2,,510
212,Kenya,Maternal mortality rate in 2015,1,12,510
213,Kenya,Maternal mortality rate in 2015,2,20,510
214,Kenya,Maternal mortality rate in 2015,3,,510
215,Kenya,Maternal mortality rate in 2015,2,,510
216,Kenya,Maternal mortality rate in 2015,2,,510
217,Kenya,Maternal mortality rate in 2015,2,,510
218,Kenya,Maternal mortality rate in 2015,2,,510
219,Kenya,Maternal mortality rate in 2015,2,9,510
220,Kenya,Maternal mortality rate in 2015,4,,510
221,Kenya,Maternal mortality rate in 2015,2,45,510
222,Kenya,Maternal mortality rate in 2015,2,,510
401,Indonesia,Maternal mortality rate in 2015,2,,126
402,Indonesia,Maternal mortality rate in 2015,1,1,126
403,Indonesia,Maternal mortality rate in 2015,2,,126
404,Indonesia,Maternal mortality rate in 2015,2,,126
405,Indonesia,Maternal mortality rate in 2015,2,,126
406,Indonesia,Maternal mortality rate in 2015,1,30,126
407,Indonesia,Maternal mortality rate in 2015,2,3,126
408,Indonesia,Maternal mortality rate in 2015,2,,126
409,Indonesia,Maternal mortality rate in 2015,2,,126
410,Indonesia,Maternal mortality rate in 2015,2,,126
411,Indonesia,Maternal mortality rate in 2015,2,,126
412,Indonesia,Maternal mortality rate in 2015,1,10,126
413,Indonesia,Maternal mortality rate in 2015,1,4,126
414,Indonesia,Maternal mortality rate in 2015,2,,126
415,Indonesia,Maternal mortality rate in 2015,1,15,126
416,Indonesia,Maternal mortality rate in 2015,2,,126
417,Indonesia,Maternal mortality rate in 2015,2,60,126
418,Indonesia,Maternal mortality rate in 2015,1,3,126
419,Indonesia,Maternal mortality rate in 2015,2,,126
420,Indonesia,Maternal mortality rate in 2015,1,10,126
421,Indonesia,Maternal mortality rate in 2015,2,,126
422,Indonesia,Maternal mortality rate in 2015,2,,126
501,Senegal,Maternal mortality rate in 2015,1,2,315
502,Senegal,Maternal mortality rate in 2015,2,,315
503,Senegal,Maternal mortality rate in 2015,1,3,315
504,Senegal,Maternal mortality rate in 2015,1,10,315
505,Senegal,Maternal mortality rate in 2015,2,,315
506,Senegal,Maternal mortality rate in 2015,1,10,315
507,Senegal,Maternal mortality rate in 2015,2,,315
508,Senegal,Maternal mortality rate in 2015,3,,315
509,Senegal,Maternal mortality rate in 2015,2,,315
510,Senegal,Maternal mortality rate in 2015,3,,315
511,Senegal,Maternal mortality rate in 2015,2,,315
512,Senegal,Maternal mortality rate in 2015,2,,315
513,Senegal,Maternal mortality rate in 2015,2,,315
514,Senegal,Maternal mortality rate in 2015,2,,315
515,Senegal,Maternal mortality rate in 2015,2,,315
516,Senegal,Maternal mortality rate in 2015,3,,315
517,Senegal,Maternal mortality rate in 2015,2,,315
518,Senegal,Maternal mortality rate in 2015,3,,315
519,Senegal,Maternal mortality rate in 2015,1,2,315
520,Senegal,Maternal mortality rate in 2015,2,,315
521,Senegal,Maternal mortality rate in 2015,3,,315
522,Senegal,Maternal mortality rate in 2015,2,,315
